ref,state,constituency,won status,votes,(votes),Name,Party Name
1,Meghalaya,Tura(2),won,383919,(+ 155241),SALENG A SANGMA,Indian National Congress
2,Meghalaya,Tura(2),lost,228678,( -155241),AGATHA K SANGMA,National People's Party
3,Meghalaya,Tura(2),lost,48709,( -335210),ZENITH M SANGMA,All India Trinamool Congress
4,Meghalaya,Tura(2),lost,6910,( -377009),LABENN CH MARAK,Independent
5,Meghalaya,Tura(2),,5840,( -378079),NOTA,None of the Above
6,Manipur,Outer Manipur(2),won,384954,(+ 85418),ALFRED KANNGAM S ARTHUR,Indian National Congress
7,Manipur,Outer Manipur(2),lost,299536,( -85418),KACHUI TIMOTHY ZIMIK,Naga Peoples Front
8,Manipur,Outer Manipur(2),lost,89910,( -295044),S KHO JOHN,Independent
9,Manipur,Outer Manipur(2),lost,15110,( -369844),ALYSON ABONMAI,Independent
10,Manipur,Outer Manipur(2),,7225,( -377729),NOTA,None of the Above
11,Maharashtra,Sangli(44),won,571666,(+ 100053),VISHAL (DADA) PRAKASHBAPU PATIL,Independent
12,Maharashtra,Sangli(44),lost,471613,( -100053),SANJAY (KAKA) PATIL,Bharatiya Janata Party
13,Maharashtra,Sangli(44),lost,60860,( -510806),CHANDRAHAR SUBHASH PATIL,Shiv Sena (Uddhav Balasaheb Thackrey)
14,Maharashtra,Sangli(44),lost,9282,( -562384),ALLAUDDIN HAYATCHAND KAZI,Independent
15,Maharashtra,Sangli(44),lost,8251,( -563415),PRAKASH SHIVAJIRAO SHENDGE,Independent
16,Maharashtra,Sangli(44),lost,5565,( -566101),PANDURANG RAOSAHEB BHOSALE,Bharatheeya Jawan Kisan Party
17,Maharashtra,Sangli(44),lost,5560,( -566106),TIPUSULATAN SIKANDAR PATAVEGAR,Bahujan Samaj Party
18,Maharashtra,Sangli(44),lost,5521,( -566145),MAHESH YASHWANT KHARADE,Swabhimani Paksha
19,Maharashtra,Sangli(44),lost,3658,( -568008),RAVINDRA CHANDAR SOLANKAR,Independent
20,Maharashtra,Sangli(44),lost,3540,( -568126),ANAND SHANKAR NALAGE,Baliraja Party
21,Maharashtra,Sangli(44),lost,3155,( -568511),SHASHIKANT GAUTAM DESHMUKH,Independent
22,Maharashtra,Sangli(44),lost,2859,( -568807),SATISH LALITA KRISHNA KADAM,Hindustan Janta Party
23,Maharashtra,Sangli(44),lost,1937,( -569729),SUWARNATAI SUDHAKAR GAYAKWAD,Independent
24,Maharashtra,Sangli(44),lost,1469,( -570197),DATTATRAY PANDIT PATIL,Independent
25,Maharashtra,Sangli(44),lost,1460,( -570206),TOUHID ILAHI MOMIN,Independent
26,Maharashtra,Sangli(44),lost,1398,( -570268),AJIT DHANAJI KHANDARE,Independent
27,Maharashtra,Sangli(44),lost,1300,( -570366),BANDAGAR NANASO BALASO,Independent
28,Maharashtra,Sangli(44),lost,1260,( -570406),JALINDAR MACHINDRA THOMAKE,Independent
29,Maharashtra,Sangli(44),lost,1011,( -570655),SANGRAM RAJARAM MORE,Independent
30,Maharashtra,Sangli(44),lost,814,( -570852),DR AKASH VHATKAR,Independent
31,Maharashtra,Sangli(44),,6565,( -565101),NOTA,None of the Above
32,Madhya Pradesh,BETUL(29),won,848236,(+ 379761),DURGADAS (D. D.) UIKEY,Bharatiya Janata Party
33,Madhya Pradesh,BETUL(29),lost,468475,( -379761),RAMU TEKAM,Indian National Congress
34,Madhya Pradesh,BETUL(29),lost,26597,( -821639),ARJUN ASHOK BHALAVI,Bahujan Samaj Party
35,Madhya Pradesh,BETUL(29),lost,10576,( -837660),ANIL UIKEY,Bharat Adivasi Party
36,Madhya Pradesh,BETUL(29),lost,7811,( -840425),BHURELAL CHOTELAL BETHEKAR,Independent
37,Madhya Pradesh,BETUL(29),lost,5968,( -842268),BHAGCHARAN WARKADE,Independent
38,Madhya Pradesh,BETUL(29),lost,4186,( -844050),SUNER UIKEY,Gondvana Gantantra Party
39,Madhya Pradesh,BETUL(29),lost,3849,( -844387),BARSKAR SUBHASH KORAKU,Swatantra Kisan Party
40,Madhya Pradesh,BETUL(29),,20322,( -827914),NOTA,None of the Above
41,Lakshadweep,Lakshadweep(1),won,25726,(+ 2647),MUHAMMED HAMDULLAH SAYEED,Indian National Congress
42,Lakshadweep,Lakshadweep(1),lost,23079,( -2647),MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar
43,Lakshadweep,Lakshadweep(1),lost,201,( -25525),YOUSUF TP,Nationalist Congress Party
44,Lakshadweep,Lakshadweep(1),lost,61,( -25665),KOYA,Independent
45,Lakshadweep,Lakshadweep(1),,133,( -25593),NOTA,None of the Above
46,Ladakh,Ladakh(1),won,65259,(+ 27862),MOHMAD HANEEFA,Independent
47,Ladakh,Ladakh(1),lost,37397,( -27862),TSERING NAMGYAL,Indian National Congress
48,Ladakh,Ladakh(1),lost,31956,( -33303),TASHI GYALSON,Bharatiya Janata Party
49,Ladakh,Ladakh(1),,912,( -64347),NOTA,None of the Above
50,Kerala,Kollam(18),won,443628,(+ 150302),N K PREMACHANDRAN,Revolutionary Socialist Party
51,Kerala,Kollam(18),lost,293326,( -150302),M MUKESH,Communist Party of India  (Marxist)
52,Kerala,Kollam(18),lost,163210,( -280418),KRISHNAKUMAR G,Bharatiya Janata Party
53,Kerala,Kollam(18),lost,2194,( -441434),VIPINLAL VIDHYADHARAN,Bahujan Samaj Party
54,Kerala,Kollam(18),lost,1734,( -441894),PREMACHANDRAN NAIR,Independent
55,Kerala,Kollam(18),lost,1374,( -442254),GOKULAM SURESH KUMAR,Independent
56,Kerala,Kollam(18),lost,835,( -442793),PRADEEP KOTTARAKKARA,Bharatheeya Jawan Kisan Party
57,Kerala,Kollam(18),lost,708,( -442920),TWINKLE PRABHAKARAN,Socialist Unity Centre Of India (COMMUNIST)
58,Kerala,Kollam(18),lost,579,( -443049),BRO NOUSHAD  SHERIFF J,Independent
59,Kerala,Kollam(18),lost,559,( -443069),JOSE SARANATH,Ambedkarite Party of India
60,Kerala,Kollam(18),lost,549,( -443079),P KRISHNAMMAL,Marxist Communist Party of India (United)
61,Kerala,Kollam(18),lost,449,( -443179),N JAYARAJAN,Independent
62,Kerala,Kollam(18),,6546,( -437082),NOTA,None of the Above
63,Karnataka,Kolar(28),won,691481,(+ 71388),M. MALLESH BABU,Janata Dal  (Secular)
64,Karnataka,Kolar(28),lost,620093,( -71388),K V GOWTHAM,Indian National Congress
65,Karnataka,Kolar(28),lost,6487,( -684994),SUMAN H N,Independent
66,Karnataka,Kolar(28),lost,6163,( -685318),HOLUR SRINIVASA,Independent
67,Karnataka,Kolar(28),lost,4732,( -686749),S B SURESHA,Bahujan Samaj Party
68,Karnataka,Kolar(28),lost,4597,( -686884),K R DEVARAJA,Delhi Janta Party
69,Karnataka,Kolar(28),lost,3354,( -688127),DR M. VENKATASWAMY,Independent
70,Karnataka,Kolar(28),lost,2118,( -689363),R RANJITHKUMAR,Independent
71,Karnataka,Kolar(28),lost,1985,( -689496),S N NARAYANASWAMY V,Independent
72,Karnataka,Kolar(28),lost,1669,( -689812),D GOPALAKRISHNA,Socialist Party (India)
73,Karnataka,Kolar(28),lost,1354,( -690127),DEVARAJA A ALUSURUDINNE,Uttama Prajaakeeya Party
74,Karnataka,Kolar(28),lost,1116,( -690365),M S BADARINARAYANA,Independent
75,Karnataka,Kolar(28),lost,1065,( -690416),MAHESH A V,Karnataka Rashtra Samithi
76,Karnataka,Kolar(28),lost,864,( -690617),THIMMARAYAPPA,Republican Party of India (Karnataka)
77,Karnataka,Kolar(28),lost,751,( -690730),R RAJENDRA,Independent
78,Karnataka,Kolar(28),lost,604,( -690877),M MUNIGANGAPPA,Independent
79,Karnataka,Kolar(28),lost,521,( -690960),M  C HALLI VENU,Viduthalai Chiruthaigal Katchi
80,Karnataka,Kolar(28),lost,443,( -691038),KRISHNAIAH N,Independent
81,Karnataka,Kolar(28),,5831,( -685650),NOTA,None of the Above
82,Jharkhand,Giridih(6),won,451139,(+ 80880),CHANDRA PRAKASH CHOUDHARY,AJSU Party
83,Jharkhand,Giridih(6),lost,370259,( -80880),MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha
84,Jharkhand,Giridih(6),lost,347322,( -103817),JAIRAM KUMAR MAHATO,Independent
85,Jharkhand,Giridih(6),lost,14074,( -437065),KAMAL PRASAD,Bahujan Samaj Party
86,Jharkhand,Giridih(6),lost,13106,( -438033),SUBODH KUMAR YADAV,Independent
87,Jharkhand,Giridih(6),lost,11020,( -440119),RAMESHWAR DUSADH,Independent
88,Jharkhand,Giridih(6),lost,10944,( -440195),SUNITA TUDU,Independent
89,Jharkhand,Giridih(6),lost,6939,( -444200),MD AINUL ANSARI,Bahujan Mukti Party
90,Jharkhand,Giridih(6),lost,5627,( -445512),DWARAKA PRASAD LALA,Independent
91,Jharkhand,Giridih(6),lost,5430,( -445709),KALAWATI DEVI,Independent
92,Jharkhand,Giridih(6),lost,5356,( -445783),GYANESHWAR PRASAD,Lokhit Adhikar Party
93,Jharkhand,Giridih(6),lost,4254,( -446885),SHIVJI PRASAD,Right to Recall Party
94,Jharkhand,Giridih(6),lost,3825,( -447314),PRAMOD RAM,Peoples Party of India (Democratic)
95,Jharkhand,Giridih(6),lost,3761,( -447378),USHA SINGH,Independent
96,Jharkhand,Giridih(6),lost,3216,( -447923),PAPPU KUMAR NISHAD,Bhartiya Lokmat Rashtrwadi Party
97,Jharkhand,Giridih(6),lost,2517,( -448622),SUBHASH KUMAR THAKUR,Sarv Samaj Party
98,Jharkhand,Giridih(6),,6044,( -445095),NOTA,None of the Above
99,Jammu and Kashmir,BARAMULLA(1),won,472481,(+ 204142),ABDUL RASHID SHEIKH,Independent
100,Jammu and Kashmir,BARAMULLA(1),lost,268339,( -204142),OMAR ABDULLAH,Jammu & Kashmir National Conference
101,Jammu and Kashmir,BARAMULLA(1),lost,173239,( -299242),SAJAD GANI LONE,Jammu & Kashmir People Conference
102,Jammu and Kashmir,BARAMULLA(1),lost,27488,( -444993),MIR MOHAMMAD FAYAZ,Jammu & Kashmir Peoples Democratic Party
103,Jammu and Kashmir,BARAMULLA(1),lost,21618,( -450863),SURAIYA NISSAR,Independent
104,Jammu and Kashmir,BARAMULLA(1),lost,15722,( -456759),FIRDOUS AHMAD BHAT,Independent
105,Jammu and Kashmir,BARAMULLA(1),lost,6214,( -466267),SHAFEEQA BEGUM,Independent
106,Jammu and Kashmir,BARAMULLA(1),lost,5566,( -466915),PEERZADA MUDASIR RASHID SHAH,Jammu & Kashmir National Panthers Party (Bhim)
107,Jammu and Kashmir,BARAMULLA(1),lost,4268,( -468213),KHURSHEED AHMAD SHAH,Rashtriya Jankranti Party
108,Jammu and Kashmir,BARAMULLA(1),lost,4063,( -468418),MOHAMMAD SULTAN GANAIE,Independent
109,Jammu and Kashmir,BARAMULLA(1),lost,3670,( -468811),SHADIB HANIEF KHAN,Independent
110,Jammu and Kashmir,BARAMULLA(1),lost,3218,( -469263),MUDASIR AHMAD TANTARY,Independent
111,Jammu and Kashmir,BARAMULLA(1),lost,2983,( -469498),NAZIR AHMAD SOFI,Independent
112,Jammu and Kashmir,BARAMULLA(1),lost,2700,( -469781),SHABIR AHMAD DAR,Independent
113,Jammu and Kashmir,BARAMULLA(1),lost,2689,( -469792),HILAL AHMAD WAGAY,Independent
114,Jammu and Kashmir,BARAMULLA(1),lost,2570,( -469911),MEHRAJ UDDIN NAJAR,Independent
115,Jammu and Kashmir,BARAMULLA(1),lost,2417,( -470064),SYED AMEER SUHAIL,Independent
116,Jammu and Kashmir,BARAMULLA(1),lost,2343,( -470138),FAROOQ AHMAD BHAT,National Youth Party
117,Jammu and Kashmir,BARAMULLA(1),lost,2241,( -470240),ARUN KUMAR RAINA,Independent
